Symbol,Name of company,Series,Date of listing,Face value
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,1
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,5
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2
EMBDL,Equinox India Developments Limited,EQ,23-MAR-2007,2
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,10
EPL,EPL Limited,EQ,11-FEB-2002,2
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1
EROSMEDIA,Eros International Media Limited,EQ,06-OCT-2010,10
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10
EXXARO,Exxaro Tiles Limited,EQ,16-AUG-2021,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1
FDC,FDC Limited,EQ,07-AUG-1997,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10
FILATEX,Filatex India Limited,EQ,29-AUG-2011,1
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10
FOCUS,Focus Lighting and Fixtures Limited,BE,24-NOV-2021,2
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10
FUSION,Fusion Micro Finance Limited,EQ,15-NOV-2022,10
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1
