Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,14,395.75,5540.5,D,41.55,-5596.14,Cash,14.09
16-Nov-22,NSE,N,STEEL AUTHORITY OF INDIA,B,300,83.65,25095.0,D,188.21,-25347.01,Cash,63.8
17-Nov-22,NSE,N,STEEL AUTHORITY OF INDIA,B,693,81.2,56271.6,D,422.04,-56836.67,Cash,143.03
17-Nov-22,NSE,N,STEEL AUTHORITY OF INDIA,B,307,81.2,24928.4,D,186.96,-25178.73,Cash,63.370000000000005
17-Nov-22,NSE,N,NMDC LTD.,B,500,106.3,53150.0,D,398.63,-53683.71,Cash,135.07999999999998
18-Nov-22,NSE,N,NTPC LTD,B,500,166.45,83225.0,D,624.19,-84060.75,Cash,211.56000000000006
18-Nov-22,NSE,N,NMDC LTD.,S,500,110.55,55275.0,D,414.56,54728.22,Cash,132.23000000000002
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,25,415.9,10397.5,D,77.98,-10501.87,Cash,26.39
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,2,415.9,831.8,D,6.24,-840.14,Cash,2.1
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,10,415.9,4159.0,D,31.19,-4200.73,Cash,10.54
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,24,415.9,9981.6,D,74.86,-10081.79,Cash,25.33
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,39,415.9,16220.1,D,121.65,-16382.91,Cash,41.16
21-Nov-22,NSE,N,CENTURY ENKA LTD,B,50,410.85,20542.5,D,154.07,-20748.95,Cash,52.38
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,16,406.65,6506.4,D,48.8,-6571.74,Cash,16.54
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,406.7,406.7,D,3.05,-410.77,Cash,1.02
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,2,406.7,813.4,D,6.1,-821.56,Cash,2.0600000000000005
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,4,406.75,1627.0,D,12.2,-1643.35,Cash,4.15
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,406.8,1220.4,D,9.15,-1232.63,Cash,3.0799999999999996
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,8,406.85,3254.8,D,24.41,-3287.48,Cash,8.27
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,13,406.9,5289.7,D,39.67,-5342.82,Cash,13.449999999999998
22-Nov-22,NSE,N,CENTURY ENKA LTD,B,3,406.95,1220.85,D,9.16,-1233.09,Cash,3.0799999999999996
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,1,421.05,421.05,D,3.16,-425.26,Cash,1.05
24-Nov-22,NSE,N,CENTURY ENKA LTD,B,12,421.05,5052.6,D,37.89,-5103.34,Cash,12.85
