Unnamed: 0,Symbol,Series,Open,High,Low,Close,PrevClose,TotalTradedQty,TotalTradedValue,TotalTrades,DeliverableQty,DeliveryPercentage,Date
23,717GS2030,GS,102.65,105.0,102.65,103.0,102.5,4206,4.32,5,4200,99.86,28-Mar-2024
24,718GS2033,GS,101.15,101.9,101.15,101.9,101.62,43712,44.54,16,43612,99.77,28-Mar-2024
25,718GS2037,GS,102.0,102.1,102.0,102.1,101.8,1100,1.12,2,1100,100.00,28-Mar-2024
26,719GS2060,GS,101.55,101.55,101.55,101.55,101.0,320,0.32,2,320,100.00,28-Mar-2024
27,725GS2063,GS,103.33,103.75,103.01,103.75,103.33,18307,18.89,15,18307,100.00,28-Mar-2024
28,726GS2032,GS,102.24,102.24,102.1,102.2,102.0,5250,5.36,6,5250,100.00,28-Mar-2024
29,726GS2033,GS,104.99,104.99,102.0,102.0,102.0,3394,3.49,4,3394,100.00,28-Mar-2024
30,732GS2030,GS,102.9,103.0,102.9,103.0,102.4,325,0.33,4,325,100.00,28-Mar-2024
31,733GS2026,GS,103.0,103.5,102.9,103.2,103.0,104200,107.22,15,103550,99.38,28-Mar-2024
32,736GS2052,GS,102.0,103.75,102.0,103.3,103.0,69,0.07,6,68,98.55,28-Mar-2024
33,737GS2028,GS,103.5,104.99,103.25,104.78,104.24,11122,11.51,7,11111,99.90,28-Mar-2024
34,738GS2027,GS,102.9,103.2,102.9,103.09,102.94,5027,5.18,16,5027,100.00,28-Mar-2024
35,73GS2053,GS,102.5,103.17,102.5,103.17,103.65,13600,13.94,4,13600,100.00,28-Mar-2024
36,741GS2036,GS,105.0,105.0,104.11,104.85,104.22,2265,2.37,11,2257,99.65,28-Mar-2024
37,746GS2073,GS,106.95,107.25,106.95,107.0,107.0,502150,537.06,7,501622,99.89,28-Mar-2024
38,74GS2035,GS,102.0,102.0,102.0,102.0,102.0,481,0.49,7,481,100.00,28-Mar-2024
39,74GS2062,GS,104.0,107.0,103.0,104.33,107.0,109,0.11,5,107,98.17,28-Mar-2024
40,754GS2036,GS,106.88,106.88,105.87,106.18,105.79,227433,241.57,78,186386,81.95,28-Mar-2024
41,757GS2033,GS,103.56,104.0,103.56,104.0,103.56,800,0.83,2,800,100.00,28-Mar-2024
42,759GS2026,GS,101.86,102.25,101.86,102.25,101.65,110,0.11,2,100,90.91,28-Mar-2024
