,SYMBOL,Name of Company
407,DAVANGERE,Davangere Sugar Company Limited
408,DBCORP,D.B.Corp Limited
409,DBL,Dilip Buildcon Limited
410,DBOL,Dhampur Bio Organics Limited
411,DBREALTY,Valor Estate Limited
412,DBSTOCKBRO,DB (International) Stock Brokers Limited
413,DCAL,Dishman Carbogen Amcis Limited
414,DCBBANK,DCB Bank Limited
415,DCI,Dc Infotech And Communication Limited
416,DCM,DCM  Limited
417,DCMFINSERV,DCM Financial Services Limited
418,DCMNVL,DCM Nouvelle Limited
419,DCMSHRIRAM,DCM Shriram Limited
420,DCMSRIND,DCM Shriram Industries Limited
421,DCW,DCW Limited
422,DCXINDIA,DCX Systems Limited
423,DECCANCE,Deccan Cements Limited
424,DEEDEV,DEE Development Engineers Limited
425,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
426,DEEPAKNTR,Deepak Nitrite Limited
427,DEEPENR,DEEP ENERGY RESOURCES LIMITED
428,DEEPINDS,Deep Industries Limited
429,DELHIVERY,Delhivery Limited
430,DELPHIFX,DELPHI WORLD MONEY LIMITED
431,DELTACORP,Delta Corp Limited
432,DELTAMAGNT,Delta Manufacturing Limited
433,DEN,Den Networks Limited
434,DENORA,De Nora India Limited
435,DEVIT,Dev Information Technology Limited
436,DEVYANI,Devyani International Limited
437,DGCONTENT,Digicontent Limited
438,DHAMPURSUG,Dhampur Sugar Mills Limited
439,DHANBANK,Dhanlaxmi Bank Limited
440,DHANI,Dhani Services Limited
441,DHANUKA,Dhanuka Agritech Limited
442,DHARMAJ,Dharmaj Crop Guard Limited
443,DHRUV,Dhruv Consultancy Services Limited
444,DHUNINV,Dhunseri Investments Limited
445,DIACABS,Diamond Power Infrastructure Limited
446,DIAMINESQ,Diamines & Chemicals Limited
447,DIAMONDYD,Prataap Snacks Limited
448,DICIND,DIC India Limited
449,DIGIDRIVE,Digidrive Distributors Limited
450,DIGISPICE,DiGiSPICE Technologies Limited
451,DIGJAMLMTD,Digjam Limited
452,DIL,Debock Industries Limited
453,DISHTV,Dish TV India Limited
454,DIVGIITTS,Divgi Torqtransfer Systems Limited
455,DIVISLAB,Divi's Laboratories Limited
456,DIXON,Dixon Technologies (India) Limited
457,DJML,DJ Mediaprint & Logistics Limited
458,DLF,DLF Limited
459,DLINKINDIA,D-Link (India) Limited
460,DMART,Avenue Supermarts Limited
461,DMCC,DMCC SPECIALITY CHEMICALS LIMITED
462,DNAMEDIA,Diligent Media Corporation Limited
463,DODLA,Dodla Dairy Limited
464,DOLATALGO,Dolat Algotech Limited
465,DOLLAR,Dollar Industries Limited
466,DOLPHIN,Dolphin Offshore Enterprises (India) Limited
467,DOMS,DOMS Industries Limited
468,DONEAR,Donear Industries Limited
469,DPABHUSHAN,D. P. Abhushan Limited
470,DPSCLTD,DPSC Limited
471,DPWIRES,D P Wires Limited
472,DRCSYSTEMS,DRC Systems India Limited
473,DREAMFOLKS,Dreamfolks Services Limited
474,DREDGECORP,Dredging Corporation of India Limited
475,DRREDDY,Dr. Reddy's Laboratories Limited
476,DSSL,Dynacons Systems & Solutions Limited
477,DTIL,Dhunseri Tea & Industries Limited
478,DUCON,Ducon Infratechnologies Limited
479,DVL,Dhunseri Ventures Limited
480,DWARKESH,Dwarikesh Sugar Industries Limited
481,DYCL,Dynamic Cables Limited
482,DYNAMATECH,Dynamatic Technologies Limited
483,DYNPRO,Dynemic Products Limited
484,E2E,E2E Networks Limited
485,EASEMYTRIP,Easy Trip Planners Limited
486,ECLERX,eClerx Services Limited
487,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited
488,EDELWEISS,Edelweiss Financial Services Limited
489,EICHERMOT,Eicher Motors Limited
490,EIDPARRY,EID Parry India Limited
491,EIFFL,Euro India Fresh Foods Limited
492,EIHAHOTELS,EIH Associated Hotels Limited
493,EIHOTEL,EIH Limited
494,EIMCOELECO,Eimco Elecon (India) Limited
495,EKC,Everest Kanto Cylinder Limited
496,ELDEHSG,Eldeco Housing And Industries Limited
497,ELECON,Elecon Engineering Company Limited
498,ELECTCAST,Electrosteel Castings Limited
499,ELECTHERM,Electrotherm (India) Limited
500,ELGIEQUIP,Elgi Equipments Limited
501,ELGIRUBCO,Elgi Rubber Company Limited
502,ELIN,Elin Electronics Limited
503,EMAMILTD,Emami Limited
504,EMAMIPAP,Emami Paper Mills Limited
505,EMAMIREAL,Emami Realty Limited
506,EMBDL,Equinox India Developments Limited
507,EMCURE,Emcure Pharmaceuticals Limited
508,EMIL,Electronics Mart India Limited
509,EMKAY,Emkay Global Financial Services Limited
510,EMMBI,Emmbi Industries Limited
511,EMSLIMITED,EMS Limited
512,EMUDHRA,eMudhra Limited
513,ENDURANCE,Endurance Technologies Limited
514,ENERGYDEV,Energy Development Company Limited
515,ENGINERSIN,Engineers India Limited
516,ENIL,Entertainment Network (India) Limited
517,ENTERO,Entero Healthcare Solutions Limited
518,EPACK,EPACK Durable Limited
519,EPIGRAL,Epigral Limited
520,EPL,EPL Limited
521,EQUIPPP,Equippp Social Impact Technologies Limited
522,EQUITASBNK,Equitas Small Finance Bank Limited
523,ERIS,Eris Lifesciences Limited
524,EROSMEDIA,Eros International Media Limited
525,ESABINDIA,Esab India Limited
526,ESAFSFB,ESAF Small Finance Bank Limited
527,ESCORTS,Escorts Kubota Limited
528,ESSARSHPNG,Essar Shipping Limited
529,ESSENTIA,Integra Essentia Limited
530,ESTER,Ester Industries Limited
531,ETHOSLTD,Ethos Limited
532,EUREKAFORB,Eureka Forbes Limited
533,EUROTEXIND,Eurotex Industries and Exports Limited
534,EVEREADY,Eveready Industries India Limited
535,EVERESTIND,Everest Industries Limited
536,EXCEL,Excel Realty N Infra Limited
537,EXCELINDUS,Excel Industries Limited
538,EXICOM,Exicom Tele-Systems Limited
539,EXIDEIND,Exide Industries Limited
540,EXPLEOSOL,Expleo Solutions Limited
541,EXXARO,Exxaro Tiles Limited
542,FACT,Fertilizers and Chemicals Travancore Limited
543,FAIRCHEMOR,Fairchem Organics Limited
544,FAZE3Q,Faze Three Limited
545,FCL,Fineotex Chemical Limited
546,FCSSOFT,FCS Software Solutions Limited
547,FDC,FDC Limited
548,FEDERALBNK,The Federal Bank  Limited
549,FEDFINA,Fedbank Financial Services Limited
550,FEL,Future Enterprises Limited
551,FELDVR,Future Enterprises Limited
552,FIBERWEB,Fiberweb (India) Limited
553,FIEMIND,Fiem Industries Limited
554,FILATEX,Filatex India Limited
555,FILATFASH,Filatex Fashions Limited
556,FINCABLES,Finolex Cables Limited
557,FINEORG,Fine Organic Industries Limited
558,FINOPB,Fino Payments Bank Limited
559,FINPIPE,Finolex Industries Limited
560,FIRSTCRY,Brainbees Solutions Limited
561,FIVESTAR,Five-Star Business Finance Limited
562,FLAIR,Flair Writing Industries Limited
563,FLEXITUFF,Flexituff Ventures International Limited
564,FLFL,Future Lifestyle Fashions Limited
565,FLUOROCHEM,Gujarat Fluorochemicals Limited
566,FMGOETZE,Federal-Mogul Goetze (India) Limited.
567,FMNL,Future Market Networks Limited
568,FOCUS,Focus Lighting and Fixtures Limited
569,FOODSIN,Foods & Inns Limited
570,FORCEMOT,FORCE MOTORS LTD
571,FORTIS,Fortis Healthcare Limited
572,FOSECOIND,Foseco India Limited
573,FSC,Future Supply Chain Solutions Limited
574,FSL,Firstsource Solutions Limited
575,FUSION,Fusion Finance Limited
576,GABRIEL,Gabriel India Limited
577,GAEL,Gujarat Ambuja Exports Limited
578,GAIL,GAIL (India) Limited
579,GALAPREC,Gala Precision Engineering Limited
580,GALAXYSURF,Galaxy Surfactants Limited
581,GALLANTT,Gallantt Ispat Limited
582,GANDHAR,Gandhar Oil Refinery (India) Limited
583,GANDHITUBE,Gandhi Special Tubes Limited
584,GANECOS,Ganesha Ecosphere Limited
585,GANESHBE,Ganesh Benzoplast Limited
586,GANESHHOUC,Ganesh Housing Corporation Limited
587,GANGAFORGE,Ganga Forging Limited
588,GANGESSECU,Ganges Securities Limited
589,GARFIBRES,Garware Technical Fibres Limited
590,GATECH,GACM Technologies Limited
591,GATECHDVR,GACM Technologies Limited
592,GATEWAY,Gateway Distriparks Limited
593,GAYAHWS,Gayatri Highways Limited
594,GEECEE,GeeCee Ventures Limited
595,GEEKAYWIRE,Geekay Wires Limited
596,GENCON,Generic Engineering Construction and Projects Limited
597,GENESYS,Genesys International Corporation Limited
598,GENSOL,Gensol Engineering Limited
599,GENUSPAPER,Genus Paper & Boards Limited
600,GENUSPOWER,Genus Power Infrastructures Limited
601,GEOJITFSL,Geojit Financial Services Limited
602,GEPIL,GE Power India Limited
603,GESHIP,The Great Eastern Shipping Company Limited
604,GET&D,GE T&D India Limited
605,GFLLIMITED,GFL Limited
606,GHCL,GHCL Limited
607,GHCLTEXTIL,GHCL Textiles Limited
608,GICHSGFIN,GIC Housing Finance Limited
609,GICRE,General Insurance Corporation of India
610,GILLANDERS,Gillanders Arbuthnot & Company Limited
611,GILLETTE,Gillette India Limited
612,GINNIFILA,Ginni Filaments Limited
613,GIPCL,Gujarat Industries Power Company Limited
614,GKWLIMITED,GKW Limited
615,GLAND,Gland Pharma Limited
616,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
617,GLENMARK,Glenmark Pharmaceuticals Limited
618,GLFL,Gujarat Lease Financing Limited
619,GLOBAL,Global Education Limited
620,GLOBALE,Globale Tessile Limited
621,GLOBALVECT,Global Vectra Helicorp Limited
622,GLOBE,Globe Textiles (India) Limited
623,GLOBUSSPR,Globus Spirits Limited
624,GLOSTERLTD,Gloster Limited
